context_id	word	gold_sense_id	positions	context	lem_context	source
18	альбом	1	193-198	Жюли была особенно ласкова к Борису жалела о его раннем разочаровании в жизни предлагала ему те утешения дружбы которые она могла предложить сама так много пострадав в жизни и открыла ему свой альбом . Борис нарисовал ей в альбом два дерева и написал Arbres rustiques vos sombres rameaux secouent sur moi les tenebres et la melancolie . В другом месте он нарисовал гробницу и написал	жюли быть особенно ласковый к борис жалеть о он ранний разочарование в жизнь предлагать он тот утешение дружба который она мочь предложить сам так много пострадать в жизнь и открыть он свой альбом . борис нарисовать она в альбом два дерево и написать arbres rustiques vos sombres rameaux secouent sur moi les tenebres et la melancolie . в друг место он нарисовать гробница и написать	active-rnc
19	альбом	1	160-166	Мне нужно время чтобы посмотреть на них издалека понять пожалеть и простить . Поэтому я растягиваю для себя это время торможу его стирая мысленно их портреты в альбоме детских воспоминаний давая им возможность проявиться заново . Я понимаю что здесь и сейчас времени на это не хватит что это слишком долгая работа которую не проделать за несколько минут	я нужно время чтобы посмотреть на они издалёка понять пожалеть и простить . поэтому я растягивать для себя это время тормозить он стирать мысленно они портрет в альбом детский воспоминание давать имя возможность проявиться заново . я понимать что здесь и сейчас время на это не хватить что это слишком долгий работа который не проделать за несколько минута	active-rnc
20	альбом	2	54-60	Просто задачи у них разные . В этом выпуске Семейного альбома мы рассказываем о двух фотографах-любителях из Екатеринослава-Днепропетровска работы которых прислал нам Марлен Матус . Речь идет о династии если так можно выразиться фотографов Вечерских	просто задача у они разный . в это выпуск семейный альбом мы рассказывать о два фотограф-любитель из екатеринослав-днепропетровск работа который прислать мы марлен матус . речь идти о династия если так можно выразиться фотограф вечерский	active-rnc
21	альбом	2	64-70	Вспомнила зачем . фотограф мелькнули снимки в старом их с дедом альбоме где такие фотографии не . редки	вспомнить зачем . фотограф мелькнуть снимка в старый они с дед альбом где такой фотография не . редкий	active-rnc
22	альбом	1	59-66	одарил таким черным поступком . Листки мои во всех четырех альбомах были по приказанию маменьки вырваны и преданы поруганию наконец призывали тайно какую-то знахарку кто говорил для привораживанья моего кто говорил из мести чтобы напустить на меня корчи и сухотку . Я почти лишним считаю прибавлять еще какое-нибудь пояснение наглая сплетня о сватовстве моем изобретена и распущена была первоначально самою Анной Мироновной с тем 1 е чтобы в городе заговорили о новом женихе в семействе Калюжиных мера признанная издавна полезною и потому повторяемая у Калюжиных как во время оно чистительные средства около первого числа каждого месяца 2 е чтобы понудить других женихов приступить порешительнее к делу 3 е наконец чтобы приготовить себе на всякий случай убежище если то есть мера по первым двум статьям остав	одарить такой чёрный поступок . листок мой в весь четыре альбом быть по приказание маменька вырвать и предать поругание наконец призывать тайно какой-то знахарка кто говорить для привораживание мой кто говорить из месть чтобы напустить на я корча и сухотка . я почти лишний считать прибавлять ещё какой-нибудь пояснение наглый сплетня о сватовство мыть изобрести и распустить быть первоначально сама анна мирон с тем 1 е чтобы в город заговорить о новый жених в семейство калюжин мера признанный издавна полезный и потому повторять у калюжин как в время оно чистительный средство около первое число каждый месяц 2 е чтобы понудить другой жених приступить решительный к дело 3 е наконец чтобы приготовить себя на всякий случай убежище если то есть мера по один два статья остать	active-rnc
23	альбом	1	73-78	Я поднимаю глаза на моего соседа он внимательно читает . Я тихонько беру альбом и закрывшись газетой быстро украдкой черчу его наклоненное над книгой лицо Поезд замедляет ход . Станция	я поднимать глаз на мой сосед он внимательно читать . я тихонько брать альбом и закрыться газета быстро украдкой чертить он наклонить над книга лицо поезд замедлять ход . станция	active-rnc
24	альбом	2	96-101	Новые книги . Уральская государственная горно-геологическая академия выпустила уникальную книгу-альбом Сокровища Каменного пояса . В книге 250 цветных фотографий ценнейших экспонатов Уральского геологического музея коллекция которого	новое книга . уральский государственный горно-геологический академия выпустить уникальный книга-альбом сокровище каменный пояс . в книга 250 цветной фотография ценный экспонат уральский геологический музей коллекция который	active-rnc
25	альбом	1	124-129	Отбывает с тринадцатого марта по приговору народного суда Свердловского района . Пачкалина понимающе кивнула и взяла другой альбом . Мало-помалу она увлеклась и теперь когда хоть на время забыла о своей беде вид у нее был такой будто пришла она в гости в солидный семейный дом и пока хозяйка готовит угощение коротает время рассматривая фотографии подруги ее друзей и любимых родственников	отбывать с тринадцать март по приговор народный суд свердловский район . пачкалин понимающе кивнуть и взять другой альбом . мало-помалу она увлечься и теперь когда хоть на время забыть о свой беда вид у нея быть такой будто пришлый она в гость в солидный семейный дом и пока хозяйка готовить угощение коротать время рассматривать фотография подруга она друг и любимый родственник	active-rnc
26	альбом	2	100-105	Он так суетится жены его не было только beau-frere шурин бегает дышит прямо в лицо шумит . Японский альбом триста пятьдесят открыток с видами Японии правда очень интересен . Так изящно удивительно	он так суетиться жена он не быть только beau-frere шурин бегать дышать прямо в лицо шуметь . японский альбом триста пятьдесят открытка с вид япония правда очень интересный . так изящно удивительно	active-rnc
27	альбом	1	300-306	Потом они слали друг другу письма время от времени вкладывали в конверт фотки надписанные четким фиолетовым почерком Владимиру на добрую память Людочке чтоб не забывала так было тогда заведено . Письма все куда-то подевались то ли мама выбросила то ли при переезде пропали но одна фотография в нашем альбоме есть . Можешь достать посмотреть	потом они слать друг друг письмо время от время вкладывать в конверт фотка надписать чёткий фиолетовый почерк владимир на добрый память людочка чтоб не забывать так быть тогда завести . письмо весь куда-то подеваться то ли мама выбросить то ли при переезд пропасть но один фотография в наш альбом есть . мочь достать посмотреть	active-rnc
28	альбом	1	119-125	И вот эта девочка Маша насобирала ужасно много фотографий артистов . Собирать уже вроде некуда стены все в фотографиях альбомы полные . Родители смотрят на это безобидное занятие и про себя думают Ну и слава Богу наша дочка занята делом	и вот этот девочка маша насобирать ужасно много фотография артист . собирать уже вроде некуда стена весь в фотография альбом полный . родитель смотреть на это безобидный занятие и про себя думать ну и слава бог наш дочка занятый дело	active-rnc
29	альбом	1	115-121	И молча подарил портсигар . Вот он Мессинг видите говорит Георгий Борисович и показывает мне карточку из семейного альбома . Рядом с молоденьким курсантом насупленный старик в темном костюме	и молча подарить портсигар . вот он мессинга видеть говорить георгий борис и показывать я карточка из семейный альбом . ряд с молоденький курсант насупить старик в тёмный костюм	active-rnc
30	альбом	1	60-66	Стаю заинтересовал только последний выпуск . Я составил два альбома из самых интересных документов и . мы временно охладели к раскопкам	стая заинтересовать только последний выпуск . я составить два альбом из самый интересный документ и . мы временно охладеть к раскопка	active-rnc
31	альбом	3	126-131	Я с изумлением узнал что сентябрьские концерты ваше первое крупное выступление в столице . Как так получилось ведь ваш первый альбом вышел аж в 1992 м году . Ну на гастроли я впервые поехала только в 1994 м В общем это стечение обстоятельств	я с изумление узнать что сентябрьский концерт ваш первое крупный выступление в столица . как так получиться ведь ваш один альбом выйти аж в 1992 метр год . ну на гастроль я впервые поехать только в 1994 метр в общий это стечение обстоятельство	active-rnc
32	альбом	2	57-62	Постановочные фотографии . Часто до своего переселения в альбом они жили в рамках на стенах . Беленых хат	постановочный фотография . часто до свой переселение в альбом они жить в рамка на стен . белёный хата	active-rnc
33	альбом	2	40-45	Россия была ее страстью . Она выпустила альбом Русские костюмы . Во время распада нашей страны сказала мне Россию растащат как свою добычу соседние хищные птицы	россия быть она страсть . она выпустить альбом русский костюм . в время распад наш страна сказать я россия растащить как свой добыча соседний хищный птица	active-rnc
34	альбом	1	240-247	Тонкие волосики ее щекотали ему левую руку правая сдавила ее тело прижимая и дрожала от напряжения . Топкие гулкие шаги в соседней комнате они услышали разом и отскочили и когда вошла старуха Надежда Львовна уже сидела опять на стуле перед альбомом чуть прикрывшись рукою от лампы а Бабаев за нею смотрел на карточку Саши и говорил упрямо справляясь с непослушными негибкими звуками низкого голоса и откашливаясь глухо . На карточке он лет сорока даже больше	тонкий волосик она щекотать он левый рука правый сдавить она тело прижимать и дрожать от напряжение . топкий гулкий шаг в соседний комната они услышать разом и отскочить и когда войти старуха надежда лев уже сидеть опять на стул перед альбом чуть прикрыться рука от лампа а бабаев за нея смотреть на карточка саша и говорить упрямо справляться с непослушный негибкий звук низкий голос и откашливаться глухо . на карточка он год сорок даже большой	active-rnc
35	альбом	2	66-71	Max-Plank-Instur fur Ernahrungsphysio-lo-gie 1988 . 28 Ван-Дейк М Альбом течений жидкости и газа . М Мир 1986	max-plank-instur fur ernahrungsphysio-lo-gie 1988 . 28 ван-дейк метр альбом течение жидкость и газа . метр мир 1986	active-rnc
36	альбом	1	88-93	А карточки какие тебе не нравятся . Карточки твои все хороши говорил я пересматривая ее альбом только вот мне кажется напрасно поставила ты в первую голову Фурье Луи Блана Прудона . Они конечно люди с талантами но основательности в них не особенно много	а карточка какой ты не нравиться . карточка твой весь хороший говорить я пересматривать она альбом только вот я кажется напрасно поставить ты в один голова фурье луи блана прудон . они конечно человек с талант но основательность в они не особенно много	active-rnc
37	альбом	3	298-303	Да-да группа впервые годы называлась не Машина а Машины времени потому что Beatles Monkees Rolling Stones все это названия во множественном числе так же кстати как и Поющие гитары Скоморохи Мифы Миражи и т д И только в 1973 году непонятливый наш народ переделал нас таки в Машину времени . Так вот альбом состоял из одиннадцати песен на английском языке но написанных нами и по построению полностью соответствовал битловскому Сержанту начиналось все с гимна Time Machines на второй стороне следовало второе проведение гимна но в иной аранжировке . Техника записи сложностью не отличалась в центре комнаты стоял магнитофон с микрофоном а мы расставляли себя в зависимости от требуемого баланса ближе или дальше от него	да-да группа впервые год называться не машина а машина время потому что beatles monkees rolling stones весь это название в множественный число так же кстати как и петь гитара скоморох миф мираж и том далее и только в 1973 год непонятливый наш народ переделать мы таки в машина время . так вот альбом состоять из одиннадцать песня на английский язык но написать мы и по построение полностью соответствовать битловский сержант начинаться весь с гимн time machines на два сторона следовать два проведение гимн но в иной аранжировка . техника запись сложность не отличаться в центр комната стоялый магнитофон с микрофон а мы расставлять себя в зависимость от требовать баланс близкий или далёкий от он	active-rnc
38	альбом	3	66-73	К 70 летию ветерана компания Сони рекордз переиздала 5 его старых альбомов а также выпустила двойной сборник его хитов включив туда недавно записанный дуэт Кэша с Дейвом Мэттьюсом группа Дэйв Мэттьюс бэнд . В приложенном к альбому буклете лидер группы Ю-ту Боно написал что у Кэша самый мужской голос в христианском мире и каждый мужчина знает что он слабак по сравнению с Джонни . Роман с виолончелью	к 70 летие ветеран компания соня рекордз переиздать 5 он старое альбом а также выпустить двойной сборник он хит включить туда недавно записать дуэт кэш с дейв мэттьюс группа дэйв мэттьюс бэнд . в приложить к альбом буклет лидер группа ю-тот боно написать что у кэш самый мужской голос в христианский мир и каждый мужчина знать что он слабак по сравнение с джонни . роман с виолончель	active-rnc
39	альбом	1	147-153	Пуджик раздувшись огромным шаром сидел в прихожей на полке для шапок и шипел на пылесосный шланг . Тата за письменным столом старательно черкала в альбоме цветными карандашами . Потом Служкин носился из кухни в комнату с тарелками	пуджик раздуться огромный шар сидеть в прихожая на полка для шапка и шипеть на пылесосный шланг . тат за письменный стол старательно чёркать в альбом цветной карандаш . потом служкина носиться из кухня в комната с тарелка	active-rnc
40	альбом	1	52-57	просто поделиться хорошей фоткой . Я кстати собрала альбом не для пользователей евы как некую домашнюю страничку для моих друзей . Или тех фоток что приятны и интересны лично мне такой вариант весьма распространен	просто поделиться хорошеть фотка . я кстати собрать альбом не для пользователь ева как некий домашний страничка для мой друг . или тот фотка что приятный и интересный лично я такой вариант весьма распространить	active-rnc
41	альбом	2	196-204	Тасина подруга жила на Кронверкской улице в дореволюционном особняке с балконами . У подруги была отдельная квартира набитая латышскими эстампами фальшивой Хохломой заграничными грампластинками и альбомами репродукций . Даже в уборной стояла крашеная гипсовая Нефертити	тасино подруга жить на кронверкский улица в дореволюционный особняк с балкон . у подруга быть отдельный квартира набитый латышский эстамп фальшивый хохлома заграничный грампластинка и альбом репродукция . даже в уборный стоялый крашеный гипсовый нефертити	active-rnc
42	альбом	2	75-80	Наконец наша встреча состоялась . И Эффель подарив мне только что вышедший альбом своих карикатур сделал на нем забавную надпись Дорогому Борису Ефимову другу на протяжении 20 лет которого я к сожалению за все 20 лет ни разу не видел . Нельзя не упомянуть о том что творчество Эффеля было отмечено высокой наградой присуждением Международной Ленинской премии За укрепление мира между народами	наконец наш встреча состояться . и эффель подарить я только что выйти альбом свой карикатура сделать на немой забавный надпись дорогой борис ефимов друг на протяжение 20 год который я к сожаление за весь 20 год ни раз не видеть . нельзя не упомянуть о тот что творчество эффель быть отметить высокий награда присуждение международный ленинский премия за укрепление мир между народ	active-rnc
43	альбом	3	21-26	и как . В третьих же альбом целиком посвящен музыке которой балканские цыгане играют на своих свадьбах и это само по себе является столь весомым аргументом в пользу покупки что на нем можно рецензию и заканчивать . А поскольку в местности где живут Kocani Orchestra значительная часть цыган мусульманского вероисповедования поскольку слушают и играют они не только цыганскую но и македонскую турецкую болгарскую музыку и на пластинке соответственно есть песни на македонском турецком и цыганском то сами можете представить что это за диск	и как . в третье же альбом целиком посвятить музыка который балканский цыган играть на свой свадьба и это сам по себя являться столь весомый аргумент в польза покупка что на немой можно рецензия и заканчивать . а поскольку в местность где жить kocani orchestra значительный часть цыган мусульманский вероисповедование поскольку слушать и играть они не только цыганский но и македонский турецкий болгарский музыка и на пластинка соответственно есть песнь на македонский турецкий и цыганский то сам мочь представить что это за диск	active-rnc
44	альбом	1	121-127	Спектакли которые ставил и в которых играл Завадский вызывали в то время восхищение всей театральной Москвы . У матери в альбоме хранился портрет Завадского где знаменитый артист и режиссер был снят в шляпе . А тут Завадский передо мной высокий благородный но совсем не величественный	спектакль который ставить и в который играть завадский вызывать в то время восхищение весь театральный москва . у матерь в альбом храниться портрет завадский где знаменитый артист и режиссёр быть снятой в шляпа . а тут завадский перед я высокий благородный но совсем не величественный	active-rnc
45	альбом	2	142-149	А рака другого соловецкого святого Зосимы хранится сейчас в Третьяковской галерее . В советское время вышло несколько богато иллюстрированных альбомов посвященных музею-заповеднику архитектуре монастыря его иконам и прекрасной природе Соловков . Нынешняя книга инициатором которой стал наместник соловецкого монастыря архимандрит Иосиф от них существенно отличается	а рак другой соловецкий святой зосима храниться сейчас в третьяковский галерея . в советский время выйти несколько богато иллюстрировать альбом посвятить музей-заповедник архитектура монастырь он икона и прекрасный природа соловковы . нынешний книга инициатор который стать наместник соловецкий монастырь архимандрит иосиф от они существенно отличаться	active-rnc
