context_id	word	gold_sense_id	positions	context	lem_context	source
11	замок	1	0-5, 16-21, 179-184, 291-296, 468-473	замок данноттар замок данноттар ( ) расположен на восточном побережье шотландии в двух милях к югу от стонхейвена и в милях от абердина . ранняя история . утес , на котором стоит замок , словно специально был создан для того , чтобы данноттар стал самой неприступной крепостью шотландии . в замок можно было попасть всего двумя способами через хорошо укрытый в расселине скалы главный вход либо по узкой крутой тропинке , которая вела через пещеры к потайному входу в замок	замок данноттар замок данноттар ( ) расположить на восточный побережье шотландия в два миля к юг от стонхейвен и в миля от абердин . ранний история . утёс , на который стоить замок , словно специально быть создать для тот , чтобы данноттар стать самый неприступный крепость шотландия . в замок можно быть попасть всего два способ через хорошо укрытый в расселина скала главный вход либо по узкий крутой тропинка , который вести через пещера к потайной вход в замок	wiki-wiki
12	замок	1	0-5, 176-181, 292-297	замок был выстроен из дерева на месте прусского городища тувангсте и на протяжении всего xiii века неоднократно подвергался нападениям восставших пруссов и литовских отрядов . замок был основан в январе года как деревянное строение , двумя годами позже началось возведение кирпичного замка . замок служил резиденцией маршалов тевтонского ордена и был центром сбора рыцарских походов в великое княжество литовское в xiv веке . с по год в замке находилась резиденция великого магистра ордена . строительство продолжилось в xiv веке .	замок быть выстроить из дерево на место прусский городище тувангст и на протяжение всего xiii век неоднократно подвергаться нападение восстать прусс и литовский отряд . замок быть основать в январь год как деревянный строение , два годами поздний начаться возведение кирпичный замок . замок служилый резиденция маршал тевтонский орден и быть центр сбор рыцарский поход в великое княжество литовский в xiv век . с по год в замок находиться резиденция великое магистр орден . строительство продолжиться в xiv век .	wiki-wiki
13	замок	1	14-19, 22-27, 232-237	полуостровной замок . замок в старых троках в году был разрушен и больше не восстанавливался . участок земли с остатками замка витовт в году подарил монахам бенедиктинцам . монастырь стоит на старом замчище . трокский полуостровной замок был построен кейстутом в - е годы на берегу озера гальве ( или трокского озера ) . он был разрушен во время междоусобиц — годов и вновь отстроен лишь в конце правления витовта	полуостровной замок . замок в старое трок в год быть разрушить и большой не восстанавливаться . участок земля с остаток замок витовт в год подарить монах бенедиктинец . монастырь стоить на старый замчистый . трокский полуостровной замок быть построить кейстут в - е год на берег озеро гальва ( или трокский озеро ) . он быть разрушить в время междоусобица — год и вновь отстроить лишь в конец правление витовт	wiki-wiki
14	замок	1	252-257	башня эта долгое время считалась самым высоким донжоном скандинавии . толщина крепостных стен составляла , — метра , а толщина стен башни — м . сверху стены завершались зубцами , а по периметру шла навесная деревянная галерея , боевой ход . выборгский замок стал центром выборгского лена , надежным форпостом распространения шведского влияния на земли карельского перешейка , оставаясь неприступным вплоть до года . новгородская республика не желала мириться с потерей карельских земель , и уже в году дружина новгорода великого	башня этот долгий время считаться самый высокий донжон скандинавия . толщина крепостной стена составлять , — метр , а толщина стена башня — метр . сверху стена завершаться зубец , а по периметр идти навесный деревянный галерея , боев ход . выборгский замок стать центр выборгский лена , надёжный форпост распространение шведский влияние на земля карельский перешеек , оставаться неприступный вплоть до год . новгородский республика не желать мириться с потеря карельский земеля , и уже в год дружина новгород великое	wiki-wiki
15	замок	1	11-16, 17-22, 188-193, 274-279	шильонский замок замок шильйон ( ) , известный в русскоязычной литературе как шильо́нский за́мок , расположен на швейцарской ривьере , у кромки женевского озера , в  км от города монтре . замок представляет собой комплекс из элементов разного времени постройки . шильонский замок стоит на скале , незначительно возвышающейся над поверхностью озера , и соединен с берегом мостом . сочетание природных условий и особенностей постройки позволяли замку контролировать стратегически важную дорогу , пролегавшую между озером и	шильонский замок замок шильйон ( ) , известный в русскоязычный литература как шильо ́ нский за ́ мокнуть , расположить на швейцарский ривьера , у кромка женевский озеро , в километр от город монтре . замок представлять себя комплекс из элемент разный время постройка . шильонский замок стоить на скал , незначительно возвышаться над поверхность озеро , и соединить с берег мост . сочетание природный условие и особенность постройка позволять замок контролировать стратегически важный дорога , пролегать между озеро и	wiki-wiki
16	замок	1	94-99, 226-231	, каменной стеной с башнями и бастионами , земляным валом и рвом , наполненным водой . старый замок постепенно превратился в тыловую позицию крепости . . новый этап серьезных строительных работ начался после того , как в году замок посетил шведский король густав ваза . башни и здания вновь перестраиваются . береговая линия дополнительно укрепляется деревянными шканцами и больверками . в году главная башня надстраивается до этажей , причем верхняя часть получила восьмигранную форму с прорезанными в трехметровых	, каменный стена с башня и бастион , земляной валом и ров , наполнить вода . старый замок постепенно превратиться в тыловой позиция крепость . . новый этап серьёзный строительный работа начаться после тот , как в год замок посетить шведский король густав ваза . башня и здание вновь перестраиваться . береговой линия дополнительно укрепляться деревянный шканцы и больверк . в год главный башня надстраиваться до этаж , причём верхний часть получить восьмиграть форма с прорезать в трехметровый	wiki-wiki
17	замок	1	124-129, 233-238	г . шотландский король яков vi взошел на английский трон и после столетий войн на границе наступил мир . к концу xviii века замок стал популярной туристической достопримечательностью , а в г . был передан под государственную опеку . замок открыт на протяжении всего года . с апреля по сентябрь — ежедневно с . по . . с октября по март — ежедневно с . по .	год . шотландский король яков vi взойти на английский трон и после столетие война на граница наступить мир . к конец xviii век замок стать популярный туристический достопримечательность , а в год . быть передать под государственный опека . замок открытый на протяжение всего год . с апрель по сентябрь — ежедневно с . по . . с октябрь по март — ежедневно с . по .	wiki-wiki
18	замок	1	11-16, 19-24, 82-87, 275-280	стерлинг ( замок ) замок стерлинг ( ) — находится в шотландии в городе стерлинг . замок стерлинг является одним из крупнейших и важнейших замков шотландии , как с исторической , так и с архитектурной точки зрения . он располагается на вершине замкового холма . с трех сторон замок окружен крутыми обрывами , что создает сильную оборонительную позицию . большинство главных строений замка	стерлинг ( замок ) замок стерлинг ( ) — находиться в шотландия в город стерлинг . замок стерлинг являться один из крупный и важный замковый шотландия , как с исторический , так и с архитектурный точка зрение . он располагаться на вершина замковый холм . с три сторона замок окружный крутой обрыв , что создавать сильный оборонительный позиция . большинство главный строение замок	wiki-wiki
19	замок	1	59-64, 285-290	попытки отреставрировать разрушившийся с годами тракайский замок предпринимались еще в конце xix века , однако основные работы не столько по реставрации , сколько по консервации приходятся на начало xx века . в году археолог в . шукевич взял у городского магистрата трокский островной замок в аренду на двенадцать лет , обязуясь охранять его от дальнейшего разрушения . с года уход за замками стал постоянным . руины на острове были измерены , было решено их законсервировать , а замки объявлены памятником . основное внимание уделялось островному	попытка отреставрировать разрушиться с годами тракайский замок предприниматься ещё в конец xix век , однако основной работа не столько по реставрация , сколько по консервация приходиться на начать xx век . в год археолог в . шукевич взять у городской магистрат трокский островной замок в аренда на двенадцать год , обязываться охранять он от дальнейший разрушение . с год уход за замок стать постоянный . руина на остров быть измерить , быть решить они законсервировать , а замок объявить памятник . основный внимание уделяться островной	wiki-wiki
20	замок	1	336-341, 494-499, 540-545	( замки крестоносцев ) и испании . с окончанием эпохи средневековья замки стали утрачивать свою первоначальную — оборонительную — задачу , которая уступила теперь место жилой . с развитием артиллерии оборонительная задача замков исчезла окончательно черты замковой архитектуры сохранялись лишь в качестве элементов декора ( французский замок пьерфон , конец xiv века ) . возобладала регулярная планировка с четко выраженной симметрией , главное здание приобрело дворцовый характер ( мадридский замок в париже , xv—xvi века ) или несвижский замок в белоруссии ( xvi век ) в xvi веке замковая архитектура	( замок крестоносец ) и испания . с окончание эпоха средневековье замок стать утрачивать свой первоначальный — оборонительный — задача , который уступить теперь место жила . с развитие артиллерия оборонительный задача замковый исчезнуть окончательно черта замковый архитектура сохраняться лишь в качество элемент декор ( французский замок пьерфон , конец xiv век ) . возобладать регулярный планировка с чётко выразить симметрия , главный здание приобрести дворцовый характер ( мадридский замок в париж , xv — xvi век ) или несвижский замок в белоруссия ( xvi век ) в xvi век замковый архитектура	wiki-wiki
21	замок	1	59-64, 79-84, 223-228, 256-261, 291-296	если позволял рельеф местности , то ров заполнялся водой и замок превращался в замок на воде . со временем структура замков усложнялась в территорию замков включались уже казармы , суд , храм , тюрьма и другие сооружения ( замок куси во франции , xiii век замок вартбург в германии , xi век замок харлек в великобритании , xiii век ) . с началом массового применения пороха начинается закат эпохи строительства замков . так , осаждающие начали проводить в случае , если это позволял грунт , саперные работы — незаметно копать сапы ,	если позволять рельеф местность , то ров заполняться вода и замок превращаться в замок на вода . с время структура замковый усложняться в территория замковый включаться уже казарма , суд , храм , тюрьма и другой сооружение ( замок кусить в франция , xiii век замок вартбург в германия , xi век замок харлек в великобритания , xiii век ) . с начало массовый применение порох начинаться закат эпоха строительство замковый . так , осаждать начать проводить в случай , если это позволять грунт , сапёрный работа — незаметно копать сап ,	wiki-wiki
22	замок	1	238-243, 366-371	", , ) . внутри замка с года находится музей истории тракая и сувенирные лавки . по летописной легенде , великий князь литовский гедимин после успешной охоты обнаружил прекрасное место недалеко от города кернаве , решил воздвигнуть на нем замок и перенести сюда столицу . во второй половине xiv века здесь , в старых троках ( "" сянейи тракай "" ) , уже стоял каменный замок . правил им в — сын гедимина трокский князь"	", , ) . внутри замок с год находиться музей история тракай и сувенирный лавка . по летописный легенда , великий князь литовский гедимин после успешный охота обнаружить прекрасный место недалеко от город кернава , решить воздвигнуть на немой замок и перенести сюда столица . в два половина xiv век здесь , в старое трок ( "" сянейя тракай "" ) , уже стоялый каменный замок . правило имя в — сын гедимин трокский князь"	wiki-wiki
23	замок	1	174-179	в - е годы на берегу озера гальве ( или трокского озера ) . он был разрушен во время междоусобиц — годов и вновь отстроен лишь в конце правления витовта . трокский островной замок был окончен в году . он был мощнейшим и наиболее величественным во всем великом княжестве литовском . это была одна из самых неприступных крепостей во всей восточной европе ни разу за всю историю врагам не удалось его завоевать . островной	в - е год на берег озеро гальва ( или трокский озеро ) . он быть разрушить в время междоусобица — год и вновь отстроить лишь в конец правление витовт . трокский островной замок быть окончить в год . он быть мощный и наиболее величественный в весь велик княжество литовский . это быть один из самый неприступный крепость в весь восточный европа ни раз за весь история враг не удаться он завоевать . островной	wiki-wiki
24	замок	1	135-140, 285-290, 305-310, 449-454, 482-487, 517-522	укрепленными воротами . далее следовал внешний двор , включавший в себя хозяйственные постройки , а также замковые сад и огород . весь замок был окружен вторым рядом стен и рвом , через который перебрасывался подъемный мост . если позволял рельеф местности , то ров заполнялся водой и замок превращался в замок на воде . со временем структура замков усложнялась в территорию замков включались уже казармы , суд , храм , тюрьма и другие сооружения ( замок куси во франции , xiii век замок вартбург в германии , xi век замок харлек в	укрепить ворот . далее следовать внешний двор , включать в себя хозяйственный постройка , а также замковый сад и огород . весь замок быть окружный второе ряд стена и ров , через который перебрасываться подъёмный мост . если позволять рельеф местность , то ров заполняться вода и замок превращаться в замок на вода . с время структура замковый усложняться в территория замковый включаться уже казарма , суд , храм , тюрьма и другой сооружение ( замок кусить в франция , xiii век замок вартбург в германия , xi век замок харлек в	wiki-wiki
25	замок	1	104-109, 280-285, 506-511	путей привела город к экономическому упадку . вскоре троки становятся местом ссылок неугодной знати , а замок использовался как тюрьма . после войны с москвой — годов развалины заброшенного замка постепенно разрушались . попытки отреставрировать разрушившийся с годами тракайский замок предпринимались еще в конце xix века , однако основные работы не столько по реставрации , сколько по консервации приходятся на начало xx века . в году археолог в . шукевич взял у городского магистрата трокский островной замок в аренду на двенадцать лет	путь привести город к экономический упадок . вскоре трок становиться место ссылка неугодный знать , а замок использоваться как тюрьма . после война с москва — год развалина забросить замок постепенно разрушаться . попытка отреставрировать разрушиться с годами тракайский замок предприниматься ещё в конец xix век , однако основной работа не столько по реставрация , сколько по консервация приходиться на начать xx век . в год археолог в . шукевич взять у городской магистрат трокский островной замок в аренда на двенадцать год	wiki-wiki
26	замок	1	198-203	- м лордом максвеллом , и его сыном робертом , - м лордом максвеллом , а в xvi в . керлаверок вновь фигурирует в описаниях конфликтов между англией и шотландией . в г . перед битвой при солвей мосс замок посетил король яков v . в том сражении шотландцы потерпели сокрушительное поражение , кроме того англичане пленили роберта , - го лорда максвелла . вскоре он был освобожден , но ненадолго — в г . англичане вновь взяли его	- метр лорд максвелл , и он сын роберт , - метр лорд максвелл , а в xvi в . керлаверка вновь фигурировать в описание конфликт между англия и шотландия . в год . перед битва при солвеять мосс замок посетить король яков v . в тот сражение шотландец потерпеть сокрушительный поражение , кроме тот англичанин пленить роберт , - го лорд максвелл . вскоре он быть освободить , но ненадолго — в год . англичанин вновь взять он	wiki-wiki
27	замок	1	132-137, 298-303	приобрел форму вытянутого прямоугольника с четырьмя башнями на углах , из которых самая высокая , западная , была дозорной . внутри замок разделялся на два двора зданием княжеского дворца . внутри стен находились казармы , склады боеприпасов в скале был вырублен глубокий колодец . впервые высокий замок был взят штурмом в году казаками под предводительством максима кривоноса . после  г . из него вывели гарнизон , и в р . турки заняли его без боя . в начале	приобрести форма вытянутый прямоугольник с четыре башня на угол , из который самый высокий , западный , быть дозорный . внутри замок разделяться на два двор здание княжеский дворец . внутри стена находиться казарма , склад боеприпас в скал быть вырубить глубокий колодец . впервые высокий замок быть взять штурм в год казак под предводительство максим кривоносый . после год . из он вывести гарнизон , и в р . турок занять он без бой . в начало	wiki-wiki
