context_id	word	gold_sense_id	positions	context	lem_context	source
19	дисциплина	2	81-90	предыдущим опытом. Социология (как наука об обществе, а не как сугубо прикладная дисциплина), теория политической науки, основы социальной работы, правоведение (как правопонимание	предыдущий опыт . социология ( как наука о общество , а не как сугубо прикладной дисциплина ) , теория политический наука , основа социальный работа , правоведение ( как правопонимание	bts-rutenten
20	дисциплина	3	83-92	лёгких пробежек, прогулок и повседневной носки. Оптимальная цена. Съемная стелька. Дисциплина : бег, Вид покрытия: шоссе, дорожка, Преимущественные нагрузки: объемные тренировки	лёгкое пробежка , прогулка и повседневный носка . оптимальный цена . съёмный стелька . дисциплина : бег , вид покрытие : шоссе , дорожка , преимущественный нагрузка : объёмный тренировка	bts-rutenten
21	дисциплина	2	80-88	подготовки — органическое сочетание в изучении фундаментальных и общеинженерных дисциплин (математика, физика, химия, электроника, информатика и т.д.) с научными дисциплинами	подготовка — органический сочетание в изучение фундаментальный и общеинженерный дисциплина ( математика , физик , химия , электроника , информатика и том . далее . ) с научный дисциплина	bts-rutenten
22	дисциплина	1	84-93	сновидения - это очень серьезно. Для этого необходимо усилие, необходима строжайшая дисциплина.	сновидение - это очень серьёзно . для это необходимый усилие , необходимый строгий дисциплина .	bts-rutenten
23	дисциплина	1	42-51	похудения для людей, не готовых к жесткой дисциплине? Конечно, есть, утверждают мастера восточной SPA-школы. Например, к таким процедурам	похудение для человек , не готовый к жёсткий дисциплина ? конечно , есть , утверждать мастер восточный spa-школа . например , к такой процедура	bts-rutenten
24	дисциплина	2	87-95	мультимедийные комплексы учебно- методических материалов для самостоятельного изучения дисциплин (МГИЭМ, МТИПП, МГАПИ, МАИ, МГТУ им. Баумана).	мультимедийный комплекс учебно- методический материал для самостоятельный изучение дисциплина ( мгиэм , мтипп , мгапи , мая , мгту имя . бауман ) .	bts-rutenten
25	дисциплина	2	57-66	Экономическая эффективность учреждений Роспотребнадзора. дисциплины вариативной части ФГОС	экономический эффективность учреждение роспотребнадзор . дисциплина вариативный часть фгос	bts-rutenten
26	дисциплина	3	80-89	масс стоит «фристайл». Удивляться тут особо нечему, так как это самая зрелищная дисциплина. Правда, при этом она же и самая сложная, как в обучении, так и в выполнении. Профессиональные	масса стоить « фристайл » . удивляться тут особо нечего , так как это самый зрелищный дисциплина . правда , при это она же и самый сложный , как в обучение , так и в выполнение . профессиональный	bts-rutenten
27	дисциплина	2	85-94	чиновником на различных должностях. С 1860 по 1865 г. преподавал гражданско-правовые дисциплины в Московском университете. Поворотным пунктом в его судьбе стало предложение читать	чиновник на различный должность . с 1860 по 1865 год . преподавать гражданско-правовой дисциплина в московский университет . поворотный пункт в он судьба стать предложение читать	bts-rutenten
28	дисциплина	1	80-89	в процессе катехизации об основах веры и об основах церковной жизни и конечно о дисциплине и, понимая истинное ее место в церковной жизни, принимал на себя ответственность	в процесс катехизация о основа вера и о основа церковный жизнь и конечно о дисциплина и , понимать истинный она место в церковный жизнь , принимать на себя ответственность	bts-rutenten
29	дисциплина	2	81-91	», которая изучается студентами всех специальностей ВСГТУ, а также профилирующим дисциплинам специальности «Охрана окружающей среды и рациональное использование природных ресурсов	» , который изучаться студент весь специальность всгт , а также профилировать дисциплина специальность « охрана окружающий среда и рациональный использование природный ресурс	bts-rutenten
30	дисциплина	2	65-73	Доцент, ведущий преподаватель по рисунку, практикующий дизайнер. дисциплин: «Рисунок», «Специальный и дизайнерский рисунок».	доцент , ведущий преподаватель по рисунок , практиковать дизайнер . дисциплина : « рисунок » , « специальный и дизайнерский рисунок » .	bts-rutenten
31	дисциплина	1	80-89	для любого человека является фитнес и здоровый образ жизни, потому что это учит дисциплине и уважению».	для любой человек являться фитнес и здоровый образ жизнь , потому что это учить дисциплина и уважение » .	bts-rutenten
32	дисциплина	1	81-91	завоевателях и высокой культуре труда в сочетании с жесточайшей производственной дисциплиной.	завоеватель и высокий культура труд в сочетание с жестокий производственный дисциплина .	bts-rutenten
33	дисциплина	2	75-84	легкой промышленности, малого бизнеса и работы с индивидуальными клиентами.Дисциплины лаборатории моды:	лёгкий промышленность , малое бизнес и работа с индивидуальный клиент . дисциплина лаборатория мода :	bts-rutenten
34	дисциплина	2	80-89	нет альтернативы! Никакой! Я считаю, что в школе должны преподаваться следующие дисциплины: этика, философия (именно они учат жить среди людей, раздвигают рамки сознания,	нет альтернатива ! никакой ! я считать , что в школа должный преподаваться следующий дисциплина : этика , философия ( именно они учить жить среди человек , раздвигать рамка сознание ,	bts-rutenten
35	дисциплина	1	84-93	говорят о другом. Среди рабочих и ИТР достаточно высок процент нарушителей трудовой дисциплины. За годы вынужденной стагнации экономики люди отвыкли от интенсивного труда, производительность	говорят о друг . среди рабочий и итр достаточно высокий процент нарушитель трудовой дисциплина . за год вынужденный стагнация экономика человек отвыкнуть от интенсивный труд , производительность	bts-rutenten
36	дисциплина	1	87-96	Ослабление военного могущества империи явилось одним из результатов гражданской войны. Дисциплина в армии упала. Солдаты почувствовали себя хозяевами положения, видя, что императоры	ослабление военный могущество империя явиться один из результат гражданский война . дисциплина в армия упасть . солдат почувствовать себя хозяин положение , видеть , что император	bts-rutenten
37	дисциплина	2	82-90	Московский государственный горный университет, факультет психолого-педагогических дисциплин, специальность Управляющий директор (Managing Director) незаконченное высшее, Московский	московский государственный горный университет , факультет психолого-педагогический дисциплина , специальность управлять директор ( managing director ) незаконченный высокий , московский	bts-rutenten
38	дисциплина	2	83-91	общеинститутских научных конференциях по обсуждению преподавания общетеоретических дисциплин и педагогической практики.	общеинститутский научный конференция по обсуждение преподавание общетеоретический дисциплина и педагогический практика .	bts-rutenten
39	дисциплина	2	72-81	Обучение в течение 4-х лет в рамках расписания юридического факультета; дисциплины Вы изучаете в рамках данной программы?	обучение в течение 4-х год в рамка расписание юридический факультет ; дисциплина вы изучать в рамка дать программа ?	bts-rutenten
40	дисциплина	1	89-98	Необходимо уяснить раз и навсегда - это определенные нормы поведения, принципы, трудовая дисциплина. Ну а что касается самой формы одежды, здесь должен быть компромисс: опросы школьников	необходимый уяснить раз и навсегда - это определённый норма поведение , принцип , трудовой дисциплина . ну а что касаться самый форма одежда , здесь должный быть компромисс : опрос школьник	bts-rutenten
41	дисциплина	3	47-56	Очень динамичный эпизод с гонками, яркие фоны. дисциплине обновленный FP93GX+ показал себя молодцом: при дневном освещении все видео выглядят	очень динамичный эпизод с гонка , яркий фон . дисциплина обновить fp93gx + показать себя молодцом : при дневный освещение весь видео выглядеть	bts-rutenten
42	дисциплина	2	85-93	математика , а не вычислительная математика . За прилагательными в названиях научных дисциплин нередко таится некая ущербность [46] , которая хорошо иллюстрируется гипотетическим	математика , а не вычислительный математика . за прилагательное в название научный дисциплина нередко таиться некий ущербность [ 46 ] , который хорошо иллюстрироваться гипотетический	bts-rutenten
43	дисциплина	2	73-82	» («Финансовый менеджмент», «Банковское дело»). копировать в буфер обменаДисциплина(ы): Банковское дело	» ( « финансовый менеджмент » , « банковский дело » ) . копировать в буфер обменадисциплина ( ы ) : банковский дело	bts-rutenten
44	дисциплина	2	46-55	автомобильным, воздушным и водным транспортом дисциплины: • математическая логика и теория алгоритмов; • дискретная математика; • теория	автомобильный , воздушный и водный транспорт дисциплина : • математический логика и теория алгоритм ; • дискретный математика ; • теория	bts-rutenten
45	дисциплина	2	84-93	Фалуньгун, также известный как Фалунь Дафа является традиционной китайской духовной дисциплины, которая состоит из пяти упражнений и медитации нравственное учение основано на	фалуньгун , также известный как фалунь даф являться традиционный китайский духовный дисциплина , который состоять из пять упражнение и медитация нравственный учение основать на	bts-rutenten
46	дисциплина	2	45-53	Алексеевич, доцент кафедры уголовно-правовых дисциплин Курганского государственного института	алексей , доцент кафедра уголовно-правовой дисциплина курганский государственный институт	bts-rutenten
47	дисциплина	2	40-48	основе сбалансированного набора учебных дисциплин, обеспечивающих выпускнику широкий кругозор в области экономического, математического	основа сбалансированный набор учебный дисциплина , обеспечивать выпускник широкий кругозор в область экономический , математический	bts-rutenten
48	дисциплина	1	80-89	«Зенит». И эти контратаки у питерцев проходили. Оставалось поддерживать игровую дисциплину при помощи крика...	« зенит » . и этот контратака у питерец проходить . оставаться поддерживать игровой дисциплина при помощь крик . . .	bts-rutenten
49	дисциплина	2	85-94	учебным комплексом, включающим учебник, практикум и методические указания к изучению дисциплины. Освещены все последние изменения, связанные с введением Нового плана счетов и	учебный комплекс , включать учебник , практикум и методический указание к изучение дисциплина . осветить весь последний изменение , связанный с введение новое план счёт и	bts-rutenten
50	дисциплина	2	31-40	деятельности: сентябрь 1996 г. дисциплины: экономическая теория, микроэкономика, микроэкономика (продвинутый уровень), макроэкономика	деятельность : сентябрь 1996 год . дисциплина : экономический теория , микроэкономика , микроэкономика ( продвинуть уровень ) , макроэкономика	bts-rutenten
51	дисциплина	2	84-92	позволяет детям осуществлять перенос информатических знаний на содержание различных дисциплин. Методы, применимые к задачам курса (метод перебора, метод проб и ошибок, метод	позволять ребёнок осуществлять перенос информатический знание на содержание различный дисциплина . метод , применимый к задача курс ( метод перебор , метод проба и ошибка , метод	bts-rutenten
52	дисциплина	2	86-94	учебник, разработка для высшей школы в области гуманитарных и социально-экономических дисциплин (Раздел 3) .	учебник , разработка для высокий школа в область гуманитарный и социально-экономический дисциплина ( раздел 3 ) .	bts-rutenten
53	дисциплина	1	81-90	устанавливаться изнутри и вследствие лишь внешнего давления возникнуть не может. Дисциплина эта в последние годы, как ни печально, ослабла, и некоторые из нас выражают надежду	устанавливаться изнутри и вследствие лишь внешний давление возникнуть не мочь . дисциплина этот в последний год , как ни печально , ослабнуть , и некоторый из мы выражать надежда	bts-rutenten
54	дисциплина	2	80-89	академиях), за исключением Академии Генерального штаба, полностью ликвидированы дисциплины по тематике противодесантных, морских десантных операций. Поэтому и молодые лейтенанты	академия ) , за исключение академия генеральный штаб , полностью ликвидировать дисциплина по тематика противодесантный , морской десантный операция . поэтому и молодая лейтенант	bts-rutenten
55	дисциплина	2	41-49	переподготовки состоит из четырех блоков дисциплин (блок общепрофессиональных дисциплин; блок специальных дисциплин; блок вспомогательных	переподготовка состоять из четыре блок дисциплина ( блок общепрофессиональный дисциплина ; блок специальный дисциплина ; блок вспомогательный	bts-rutenten
56	дисциплина	1	73-82	SAP мы по-другому сделать не можем'. Обычно этого оказывалось достаточно.Дисциплина на проекте вообще была строгой: при необходимости сотрудники функциональных подразделений	sap мы по-другому сделать не мочь ' . обычно это оказываться достаточно . дисциплина на проект вообще быть строгий : при необходимость сотрудник функциональный подразделение	bts-rutenten
57	дисциплина	2	81-89	1 столь секретный совет». Но за несколько месяцев, параллельно с десятком других дисциплин!? Преподаватели прекрасно всё понимают, поэтому на экзамене большинство получают	1 столь секретный совет » . но за несколько месяц , параллельно с десяток другой дисциплина ! ? преподаватель прекрасно весь понимать , поэтому на экзамен большинство получать	bts-rutenten
58	дисциплина	2	84-92	Музыковед ДШИ № 5 Никитина Г.В. провела для преподавателей музыкально-теоретических дисциплин практикум по музицированию «Музыкальный конструктор». Актуальность этой темы связана	музыковед дши № 5 никитин год . в . провести для преподаватель музыкально-теоретический дисциплина практикум по музицирование « музыкальный конструктор » . актуальность этот тема связать	bts-rutenten
59	дисциплина	2	51-60	Методические рекомендации обучающимся. На изучение дисциплины «Современные проблемы науки» учебным планом отводится 32 часа аудиторного времени	методический рекомендация обучающийся . на изучение дисциплина « современный проблема наука » учебный план отводиться 32 час аудиторный время	bts-rutenten
60	дисциплина	2	41-51	подход к обучению социально-гуманитарным дисциплинам способствует формированию Я-концепции будущего специалиста, основой которой выступают	подход к обучение социально-гуманитарный дисциплина способствовать формирование я-концепция будущее специалист , основа который выступать	bts-rutenten
61	дисциплина	2	80-90	Формирование компетенции в процессе подготовки будущего учителя по гуманитарным дисциплинам 146	формирование компетенция в процесс подготовка будущее учитель по гуманитарный дисциплина 146	bts-rutenten
62	дисциплина	2	84-92	Борис Николаевич – кандидат юридических наук, зав. кафедрой специальных юридических дисциплин (Методические аспекты оценки деятельности руководителей органов государственной	борис николай – кандидат юридический наука , зав . кафедра специальный юридический дисциплина ( методический аспект оценка деятельность руководитель орган государственный	bts-rutenten
63	дисциплина	2	96-104	образовательного стандарта старшеклассники будут изучать четыре обязательных предмета и еще ряд дисциплин смогут выбирать для углубленного изучения. Таковы данные опроса, проведенного ВЦИОМ	образовательный стандарт старшеклассник быть изучать четыре обязательный предмет и ещё ряд дисциплина смочь выбирать для углублённый изучение . таков дать опрос , провести вциома	bts-rutenten
64	дисциплина	2	86-94	истории Советской Армии (1918 -1945 гг.)' (РГГУ, кафедра вспомогательных исторических дисциплин; научный руководитель - д-р ист. наук, проф. О.М.Медушевская).	история советский армия ( 1918 -1945 год . ) ' ( ргг , кафедра вспомогательный исторический дисциплина ; научный руководитель - д-р истый . наука , проф . о . метр . медушевский ) .	bts-rutenten
65	дисциплина	2	84-93	работы на кафедре психологии образования и развития с 2003 г. Преподаваемые учебные дисциплины: 'Общий психологический практикум', 'Психология труда', 'Основы профориентологии	работа на кафедра психология образование и развитие с 2003 год . преподавать учебный дисциплина : ' общий психологический практикум ' , ' психология труд ' , ' основа профориентология	bts-rutenten
66	дисциплина	1	72-81	специальные классные комнаты, а 2 февраля 1884 года состоялось открытие.Дисциплина в школе была отличная, – пишет в своих воспоминаниях выпускница школы Козлова Мария	специальный классный комната , а 2 февраль 1884 год состояться открытие . дисциплина в школа быть отличный , – писать в свой воспоминание выпускница школа козлов мария	bts-rutenten
67	дисциплина	2	78-87	относятся к тридцатым годам прошлого века, а работы Фурье относятся к 19 веку.Дисциплина, занимающаяся этими задачами, называется – « Анализ временных рядов и обработка	относиться к тридцать год прошлое век , а работа фурье относиться к 19 век . дисциплина , заниматься этот задача , называться – « анализ временной ряд и обработка	bts-rutenten
68	дисциплина	2	81-89	делового администрирования, который привлекает людей из широкого спектра научных дисциплин. Обозначение MBA появилось в Соединенных Штатах, в конце 19 века, как в страна	деловой администрирование , который привлекать человек из широкий спектр научный дисциплина . обозначение mba появиться в соединить штат , в конец 19 век , как в страна	bts-rutenten
69	дисциплина	2	33-42	проводятся в форме тестирования. дисциплины</p><p>	проводиться в форма тестирование . дисциплина < / p > < p >	bts-rutenten
70	дисциплина	1	89-98	понимающие свои олератлв- . ные задачи, получают право и обязанность в. пределах строгой дисциплины проявлять личную инициативу «с разумом, искусством и под ответом».	понимать свой олератлв- . ные задача , получать право и обязанность в . предел строгий дисциплина проявлять личный инициатива « с разум , искусство и под ответ » .	bts-rutenten
71	дисциплина	1	90-99	обнаружения признаков преступления, административного правонарушения, нарушения служебной дисциплины незамедлительно доложить об этом председателю комиссии;	обнаружение признак преступление , административный правонарушение , нарушение служебный дисциплина незамедлительно доложить о это председатель комиссия ;	bts-rutenten
72	дисциплина	2	83-91	объяснения единичных понятий, так и для преподавания определенных учебных курсов и дисциплин.	объяснение единичный понятие , так и для преподавание определённый учебный курс и дисциплина .	bts-rutenten
73	дисциплина	1	80-89	волос. Питание для всех типов сухих волос, четкие локоны для вьющихся волос или дисциплина и гладкость для непослушных волос. Программа питает Ваши волосы, сохраняя их легкость	волос . питание для весь тип сухой волос , чёткий локон для вьющийся волос или дисциплина и гладкость для непослушный волос . программа питать ваш волос , сохранять они лёгкость	bts-rutenten
74	дисциплина	1	83-92	прогнозируешь. Откажись от случайных результатов! Планируй свою работу. Не нарушай дисциплину и план торговли. Контролируй свои эмоции и речь. Предпочитай тонкие и многообразные	прогнозировать . отказаться от случайный результат ! планировать свой работа . не нарушать дисциплина и план торговля . контролировать свой эмоция и речь . предпочитать тонкий и многообразный	bts-rutenten
75	дисциплина	2	84-93	хроники и узнавать себя на обложках глянцев Москвы?! 1. Мастерство актера Изучаемые дисциплины: 3. Сценическое движение. 2. Сценическая речь Преподаватели – высококвалифицированные	хроника и узнавать себя на обложка глянцевый москва ? ! 1 . мастерство актёр изучать дисциплина : 3 . сценический движение . 2 . сценический речь преподаватель – высококвалифицированный	bts-rutenten
